"","ID","items","trial","cor2","RT","AHA","surprise","task","sample","sex","age","citizenship","english_proficiency","education","cor1","alternative","AHA_fac","task_f","sample_f","suddenness","visual_pic","conceptual_pic","solution_pic","PC_CD_conc","CS_CD_conc","PS_CD_conc","PC_Vis_HR","CS_Vis_HR","PS_Vis_HR","items_utf8","V1","V2","V3","cor2_f","T123Solve_lch","AHA_num","PC_LCH","PS_LCH","CS_LCH","T123_lch"
"1","255","WAGON - BREAK - RADIO",3,1,2.229,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAGON - BREAK - RADIO","WAGON","BREAK","RADIO","1",1.65393333333333,1,NA,NA,NA,1.21333333333333
"2","255","BOOT - SUMMER - GROUND",4,1,0.386,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOOT - SUMMER - GROUND","BOOT","SUMMER","GROUND","1",1.4917,1,NA,NA,NA,1.39303333333333
"3","255","WATER - MINE - SHAKER",5,1,0.352,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WATER - MINE - SHAKER","WATER","MINE","SHAKER","1",1.5168,1,NA,NA,NA,1.5258
"4","255","DATE - ALLEY - FOLD",6,1,0.955,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DATE - ALLEY - FOLD","DATE","ALLEY","FOLD","1",1.6094,1,NA,NA,NA,1.0425
"5","255","SANDWICH - HOUSE - GOLF",7,1,0.137,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SANDWICH - HOUSE - GOLF","SANDWICH","HOUSE","GOLF","1",1.0268,1,NA,NA,NA,0.901333333333333
"6","255","FOOD - FORWARD - BREAK",8,1,0.449,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FOOD - FORWARD - BREAK","FOOD","FORWARD","BREAK","1",NA,1,NA,NA,NA,NA
"7","255","SAGE - PAINT - HAIR",9,1,0.522,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SAGE - PAINT - HAIR","SAGE","PAINT","HAIR","1",1.4248,1,NA,NA,NA,1.3579
"8","255","WORM - SHELF - END",10,1,0.458,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORM - SHELF - END","WORM","SHELF","END","1",1.1012,1,NA,NA,NA,1.1796
"9","255","SLEEPING - BEAN - TRASH",11,1,0.298,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLEEPING - BEAN - TRASH","SLEEPING","BEAN","TRASH","1",1.1296,1,NA,NA,NA,1.07113333333333
"10","255","CANE - DADDY - PLUM",12,1,0.031,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CANE - DADDY - PLUM","CANE","DADDY","PLUM","1",0.7473,1,NA,NA,NA,0.8961
"11","255","COTTAGE - SWISS - CAKE",13,1,0.387,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COTTAGE - SWISS - CAKE","COTTAGE","SWISS","CAKE","1",1.9364,1,NA,NA,NA,1.1259
"12","255","PEACH - ARM - TAR",14,1,0.55,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PEACH - ARM - TAR","PEACH","ARM","TAR","1",1.11596666666667,1,NA,NA,NA,0.9851
"13","255","AGE - MILE - SAND",15,1,8.585,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGE - MILE - SAND","AGE","MILE","SAND","1",1.32276666666667,1,NA,NA,NA,1.3022
"14","255","MOUSE - BEAR - SAND",16,1,0.323,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOUSE - BEAR - SAND","MOUSE","BEAR","SAND","1",1.0992,1,NA,NA,NA,1.22546666666667
"15","255","CREAM - SKATE - WATER",17,1,0.423,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CREAM - SKATE - WATER","CREAM","SKATE","WATER","1",1.65923333333333,1,NA,NA,NA,1.2485
"16","255","DRESS - DIAL - FLOWER",18,1,0.199,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRESS - DIAL - FLOWER","DRESS","DIAL","FLOWER","1",1.26476666666667,1,NA,NA,NA,1.18666666666667
"17","255","FRENCH - CAR - SHOE",19,1,0.246,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRENCH - CAR - SHOE","FRENCH","CAR","SHOE","1",1.42286666666667,1,NA,NA,NA,0.9783
"18","255","PIKE - COAT - SIGNAL",20,1,0.1,"xAHA",1,"CRA","english",1,22,"Belarus",6,"Msc/MA",1,0,"xAHA","CRA","english",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIKE - COAT - SIGNAL","PIKE","COAT","SIGNAL","1",1.39986666666667,1,NA,NA,NA,1.44443333333333
